match_id,team,period,minute_bin_5,metric_name,metric_value,metric_unit,interpretation_label,insight_text,dashboard_section,recommended_chart_type,priority_level,confidence_level,phase_context
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,20,forward_line_height,10.0877,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,20,line_height_gap,25.6827,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,20,team_width,35.2897,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,high,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,20,team_depth,34.962,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,high,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,20,centroid_x,-1.1911,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,20,centroid_y,-1.1312,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,20,compactness,14.691,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,high,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,20,avg_block_height,-1.1911,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,20,defensive_line_height,-10.7699,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,20,midfield_line_height,1.2633,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,20,forward_line_height,9.1263,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,20,line_height_gap,20.2451,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,25,team_width,37.599,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,high,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,25,team_depth,35.9081,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,high,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,25,centroid_x,-5.8842,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,25,centroid_y,-0.7225,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,25,compactness,16.1836,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,high,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,25,avg_block_height,-5.8842,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,25,defensive_line_height,-16.7796,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,25,midfield_line_height,-3.7866,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,25,forward_line_height,11.7114,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,25,line_height_gap,28.777,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
