match_id,team,player_id,player_name,metric_name,metric_value,metric_unit,interpretation_label,insight_text,dashboard_section,recommended_chart_type,priority_level,confidence_level
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,450048,K. Askildsen,max_speed_kmh,0,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,450048,K. Askildsen,avg_speed_kmh,0,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,457214,G. Onugkha,minutes_played,96.5733,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,457214,G. Onugkha,live_minutes,48.3013,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,457214,G. Onugkha,distance_covered_m,6781.1616,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,457214,G. Onugkha,high_speed_distance_m,856.312,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,457214,G. Onugkha,sprint_distance_m,347.4704,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,457214,G. Onugkha,max_speed_kmh,32.22,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,457214,G. Onugkha,avg_speed_kmh,8.4236,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,474838,E. Martinez,minutes_played,96.5733,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,474838,E. Martinez,live_minutes,48.3013,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,474838,E. Martinez,distance_covered_m,7900.7796,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,474838,E. Martinez,high_speed_distance_m,723.0192,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,474838,E. Martinez,sprint_distance_m,103.1972,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,474838,E. Martinez,max_speed_kmh,32.508,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,474838,E. Martinez,avg_speed_kmh,9.8143,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,475413,Gabriel Pereira,minutes_played,96.5733,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,475413,Gabriel Pereira,live_minutes,48.3013,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,475413,Gabriel Pereira,distance_covered_m,6987.1484,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,475413,Gabriel Pereira,high_speed_distance_m,645.5876,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,475413,Gabriel Pereira,sprint_distance_m,150.874,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,475413,Gabriel Pereira,max_speed_kmh,29.736,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,475413,Gabriel Pereira,avg_speed_kmh,8.6796,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
